Column Name,Description,Data Type,Allowed Values,Data Coding
ch_further_education_9_18,"Further education of child 9, based on ch018_9_* & ch513_9_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_9_19,"Further education of child 9, based on ch018_9_* & ch513_9_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_9_20,"Further education of child 9, based on ch018_9_* & ch513_9_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_9_21,"Further education of child 9, based on ch018_9_* & ch513_9_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_9_22,"Further education of child 9, based on ch018_9_* & ch513_9_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_1,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_2,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_3,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_4,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_5,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_6,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_7,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_8,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_9,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_10,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_11,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_12,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_13,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_14,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_15,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_16,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_17,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_18,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_19,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_20,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_21,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_10_22,"Further education of child 10, based on ch018_10_* & ch513_10_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_11_1,"Further education of child 11, based on ch018_11_* & ch513_11_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_11_2,"Further education of child 11, based on ch018_11_* & ch513_11_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_11_3,"Further education of child 11, based on ch018_11_* & ch513_11_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_11_4,"Further education of child 11, based on ch018_11_* & ch513_11_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_11_5,"Further education of child 11, based on ch018_11_* & ch513_11_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_11_6,"Further education of child 11, based on ch018_11_* & ch513_11_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
ch_further_education_11_7,"Further education of child 11, based on ch018_11_* & ch513_11_*",Categorical,"-2, -1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 95, 96, 97","-2=Refusal; -1=Don't know; 1=No higher education/vocational training; 2=Some education, but less than [ISCED 1] (instead of [ISCED 1] put respective country specific degr.); 3=Country specific category 1; 4=Country specific category 2; 5=Country specific category 3; 6=Country specific category 4; 7=Country specific category 5; 8=Country specific category 6; 9=Country specific category 7; 10=Country specific category 8; 11=Country specific category 9; 12=Country specific category 10; 13=Country specific category 11; 14=Country specific category 12; 15=Country specific category 13; 16=Country specific category 14; 17=Country specific category 15; 18=Country specific category 16; 19=Country specific category 17; 20=Country specific category 18; 95=Still in education/vocational training; 96=None; 97=Other"
